Zeit(0.001 ms),Drehmoment Messsystem 1 (NÂ·m),Winkel Messsystem 1 (°),Drehmoment Motor (NÂ·m),Winkel Motor (°),Drehzahl (U/min),Schritt,Stromstaerke (A),Temperatur (°C)
695500,0.00,167,0.19,167,40,1,-0.052,41.3
695750,0.00,167,0.19,167,40,1,-0.046,41.3
696000,0.00,167,0.19,167,40,1,-0.039,41.3
696250,-0.00,167,0.19,167,40,1,-0.036,41.3
696500,-0.00,167,0.21,167,40,1,-0.040,41.3
696750,-0.00,167,0.21,167,40,1,-0.048,41.3
697000,-0.01,167,0.21,167,40,1,-0.052,41.3
697250,-0.01,167,0.21,167,40,1,-0.054,41.3
697500,-0.00,167,0.21,167,40,1,-0.052,41.3
697750,-0.00,167,0.21,167,40,1,-0.051,41.3
698000,-0.00,168,0.21,167,40,1,-0.044,41.3
698250,-0.00,168,0.21,167,40,1,-0.041,41.3
698500,-0.00,168,0.21,167,40,1,-0.045,41.3
698750,-0.00,168,0.21,167,40,1,-0.055,41.3
699000,-0.00,168,0.21,168,40,1,-0.060,41.3
699250,-0.00,168,0.21,168,40,1,-0.052,41.3
699500,-0.00,168,0.21,168,40,1,-0.047,41.3
699750,-0.00,168,0.21,168,40,1,-0.043,41.3
700000,0.00,168,0.21,168,40,1,-0.045,41.3
700250,0.00,168,0.22,168,40,1,-0.049,41.3
700500,0.00,168,0.22,168,40,1,-0.051,41.3
700750,-0.01,168,0.22,168,40,1,-0.055,41.3
701000,-0.01,168,0.22,168,40,1,-0.060,41.3
701250,-0.01,168,0.21,168,40,1,-0.056,41.3
701500,-0.01,168,0.21,168,40,1,-0.049,41.3
701750,-0.00,168,0.21,168,40,1,-0.039,41.3
702000,-0.00,168,0.21,168,40,1,-0.042,41.3
702250,-0.00,168,0.21,168,40,1,-0.046,41.3
702500,0.00,168,0.21,168,40,1,-0.054,41.3
702750,0.00,168,0.21,169,40,1,-0.061,41.3
703000,0.00,168,0.21,169,40,1,-0.054,41.3
703250,0.00,168,0.19,169,40,1,-0.043,41.3
703500,0.00,168,0.19,169,40,1,-0.037,41.3
703750,0.00,169,0.19,169,40,1,-0.038,41.3
704000,0.00,169,0.19,169,40,1,-0.046,41.3
704250,0.00,169,0.19,169,40,1,-0.055,41.3
704500,0.00,169,0.19,169,40,1,-0.056,41.3
704750,0.00,169,0.19,169,40,1,-0.051,41.3
705000,-0.00,169,0.16,169,40,1,-0.040,41.3
705250,-0.00,169,0.16,169,40,1,-0.034,41.3
705500,-0.00,169,0.16,169,40,1,-0.037,41.3
705750,-0.00,169,0.16,169,40,1,-0.043,41.3
706000,-0.00,169,0.19,169,40,1,-0.049,41.3
706250,-0.00,169,0.19,169,40,1,-0.051,41.3
706500,-0.00,169,0.19,169,40,1,-0.046,41.3
706750,-0.00,169,0.19,169,40,1,-0.036,41.3
707000,-0.00,169,0.19,169,40,1,-0.032,41.3
707250,-0.00,169,0.19,169,40,1,-0.036,41.3
707500,-0.00,170,0.19,170,40,1,-0.042,41.3
707750,0.00,170,0.19,170,40,1,-0.048,41.3
708000,0.00,170,0.21,170,40,1,-0.050,41.3
708250,0.00,170,0.21,170,40,1,-0.053,41.3
708500,0.00,170,0.21,170,40,1,-0.050,41.3
708750,0.00,170,0.19,170,40,1,-0.046,41.3
709000,0.00,170,0.19,170,40,1,-0.041,41.3
709250,0.00,170,0.19,170,40,1,-0.045,41.3
709500,0.00,170,0.19,170,40,1,-0.051,41.3
709750,0.00,170,0.19,170,40,1,-0.058,41.3
710000,0.00,170,0.19,170,40,1,-0.058,41.3
710250,0.00,170,0.19,170,40,1,-0.049,41.3
710500,0.00,170,0.19,170,40,1,-0.043,41.3
710750,0.00,170,0.19,170,40,1,-0.041,41.3
711000,0.00,170,0.19,170,40,1,-0.047,41.3
711250,0.00,171,0.19,171,40,1,-0.056,41.3
711500,0.00,171,0.19,171,40,1,-0.063,41.3
711750,0.00,171,0.16,171,40,1,-0.065,41.3
712000,-0.00,171,0.16,171,40,1,-0.060,41.3
712250,-0.00,171,0.16,171,40,1,-0.051,41.3
712500,0.00,171,0.16,171,40,1,-0.045,41.3
712750,0.00,171,0.16,171,40,1,-0.046,41.3
713000,0.00,171,0.16,171,40,1,-0.054,41.3
713250,0.01,171,0.16,171,40,1,-0.059,41.3
713500,0.01,171,0.16,171,40,1,-0.059,41.3
713750,0.01,171,0.17,171,40,1,-0.049,41.3
714000,0.01,171,0.17,171,40,1,-0.040,41.3
714250,0.00,171,0.17,171,40,1,-0.038,41.3
714500,0.00,171,0.19,171,40,1,-0.039,41.3
714750,0.00,171,0.19,171,40,1,-0.043,41.3
715000,0.00,171,0.19,172,40,1,-0.051,41.3
715250,0.00,172,0.19,172,40,1,-0.050,41.3
715500,0.00,172,0.19,172,40,1,-0.046,41.3
715750,0.00,172,0.19,172,40,1,-0.040,41.3
716000,0.00,172,0.19,172,40,1,-0.035,41.3
716250,0.00,172,0.19,172,40,1,-0.040,41.3
716500,0.00,172,0.21,172,40,1,-0.044,41.3
716750,0.00,172,0.21,172,40,1,-0.045,41.3
717000,0.00,172,0.21,172,40,1,-0.049,41.3
717250,0.00,172,0.21,172,40,1,-0.048,41.3
717500,0.00,172,0.21,172,40,1,-0.042,41.3
717750,0.00,172,0.21,172,40,1,-0.037,41.3
718000,0.00,172,0.21,172,40,1,-0.040,41.3
718250,-0.00,172,0.21,172,40,1,-0.043,41.3
718500,-0.00,172,0.22,172,40,1,-0.047,41.3
718750,-0.00,172,0.22,172,40,1,-0.052,41.3
719000,-0.01,173,0.22,173,40,1,-0.054,41.3
719250,-0.01,173,0.21,173,40,1,-0.052,41.3
719500,0.00,173,0.21,173,40,1,-0.045,41.3
719750,0.00,173,0.21,173,40,1,-0.038,41.3
720000,0.00,173,0.21,173,40,1,-0.040,41.3
720250,0.00,173,0.23,173,40,1,-0.050,41.3
720500,0.00,173,0.23,173,40,1,-0.054,41.3
720750,0.00,173,0.23,173,40,1,-0.048,41.3
721000,0.00,173,0.23,173,40,1,-0.043,41.3
721250,0.00,173,0.22,173,40,1,-0.041,41.3
721500,0.00,173,0.22,173,40,1,-0.040,41.3
721750,0.01,173,0.22,173,40,1,-0.041,41.3
722000,0.01,173,0.22,173,40,1,-0.043,41.3
722250,0.01,173,0.23,173,40,1,-0.048,41.3
722500,0.00,173,0.23,173,40,1,-0.052,41.3
722750,0.00,174,0.23,173,40,1,-0.052,41.3
723000,0.00,174,0.23,173,40,1,-0.043,41.3
723250,0.00,174,0.23,173,40,1,-0.035,41.3
723500,0.00,174,0.23,173,40,1,-0.034,41.3
723750,0.01,174,0.23,174,40,1,-0.041,41.3
724000,0.01,174,0.24,174,40,1,-0.049,41.3
724250,0.01,174,0.24,174,40,1,-0.054,41.3
724500,0.01,174,0.24,174,40,1,-0.047,41.3
724750,0.01,174,0.24,174,40,1,-0.038,41.3
725000,0.01,174,0.24,174,40,1,-0.035,41.3
725250,0.01,174,0.24,174,40,1,-0.036,41.3
725500,0.01,174,0.24,174,40,1,-0.045,41.3
725750,0.00,174,0.24,174,40,1,-0.050,41.3
726000,0.01,174,0.24,174,40,1,-0.055,41.3
726250,0.01,174,0.24,174,40,1,-0.052,41.3
726500,0.01,175,0.24,174,40,1,-0.047,41.3
726750,0.01,175,0.24,174,40,1,-0.039,41.3
727000,0.01,175,0.22,174,40,1,-0.042,41.3
727250,0.00,175,0.22,174,40,1,-0.048,41.3
727500,0.00,175,0.22,175,40,1,-0.056,41.3
727750,0.00,175,0.22,175,40,1,-0.059,41.3
728000,0.00,175,0.22,175,40,1,-0.055,41.3
728250,0.00,175,0.22,175,40,1,-0.046,41.3
728500,0.00,175,0.22,175,40,1,-0.039,41.3
728750,0.00,175,0.22,175,40,1,-0.039,41.3
729000,0.00,175,0.22,175,40,1,-0.044,41.3
729250,0.00,175,0.22,175,40,1,-0.050,41.3
729500,0.00,175,0.22,175,40,1,-0.058,41.3
729750,0.00,175,0.22,175,40,1,-0.057,41.3
730000,0.00,175,0.22,175,40,1,-0.047,41.3
730250,0.00,175,0.22,175,40,1,-0.043,41.3
730500,0.00,175,0.22,175,40,1,-0.040,41.3
730750,0.00,175,0.22,175,40,1,-0.046,41.3
731000,0.00,175,0.22,175,40,1,-0.053,41.3
731250,0.00,176,0.22,176,40,1,-0.056,41.3
731500,0.00,176,0.22,176,40,1,-0.056,41.3
731750,0.00,176,0.22,176,40,1,-0.054,41.3
732000,0.00,176,0.22,176,40,1,-0.049,41.3
732250,0.00,176,0.22,176,40,1,-0.045,41.3
732500,0.00,176,0.22,176,40,1,-0.048,41.3
732750,0.01,176,0.22,176,40,1,-0.054,41.3
733000,0.00,176,0.22,176,40,1,-0.059,41.3
733250,0.00,176,0.22,176,40,1,-0.064,41.3
733500,0.00,176,0.22,176,40,1,-0.062,41.3
733750,0.00,176,0.21,176,40,1,-0.056,41.3
734000,0.00,176,0.21,176,40,1,-0.045,41.3
734250,0.00,176,0.21,176,40,1,-0.041,41.3
734500,0.00,176,0.21,176,40,1,-0.045,41.3
734750,0.00,176,0.21,176,40,1,-0.052,41.3
735000,0.00,176,0.21,176,40,1,-0.059,41.3
735250,0.00,177,0.21,176,40,1,-0.054,41.3
735500,0.00,177,0.19,176,40,1,-0.046,41.3
735750,0.00,177,0.19,176,40,1,-0.037,41.3
736000,0.00,177,0.19,177,40,1,-0.035,41.3
736250,0.00,177,0.19,177,40,1,-0.044,41.3
736500,0.00,177,0.19,177,40,1,-0.052,41.3
736750,0.01,177,0.19,177,40,1,-0.054,41.3
737000,0.01,177,0.19,177,40,1,-0.049,41.3
737250,0.01,177,0.19,177,40,1,-0.041,41.3
737500,0.01,177,0.16,177,40,1,-0.033,41.3
737750,0.00,177,0.16,177,40,1,-0.034,41.3
738000,0.00,177,0.16,177,40,1,-0.038,41.3
738250,0.00,177,0.19,177,40,1,-0.044,41.3
738500,0.00,177,0.19,177,40,1,-0.049,41.3
738750,0.00,177,0.19,177,40,1,-0.048,41.3
739000,0.00,178,0.19,177,40,1,-0.041,41.3
739250,0.00,178,0.19,177,40,1,-0.032,41.3
739500,0.00,178,0.19,177,40,1,-0.031,41.3
739750,0.01,178,0.19,178,40,1,-0.036,41.3
740000,0.01,178,0.19,178,40,1,-0.041,41.3
740250,0.00,178,0.21,178,40,1,-0.047,41.3
740500,0.00,178,0.21,178,40,1,-0.055,41.3
740750,0.00,178,0.21,178,40,1,-0.050,41.3
741000,0.00,178,0.21,178,40,1,-0.039,41.3
741250,0.01,178,0.21,178,40,1,-0.041,41.3
741500,0.01,178,0.21,178,40,1,-0.047,41.3
741750,0.01,178,0.21,178,40,1,-0.054,41.3
742000,0.00,178,0.21,178,40,1,-0.055,41.3
742250,0.00,178,0.19,178,40,1,-0.054,41.3
742500,-0.01,178,0.19,178,40,1,-0.048,41.3
742750,-0.01,178,0.19,178,40,1,-0.046,41.3
743000,-0.01,178,0.19,178,40,1,-0.043,41.3
743250,0.00,178,0.16,178,40,1,-0.046,41.3
743500,0.00,178,0.16,178,40,1,-0.050,41.3
743750,0.01,179,0.16,179,40,1,-0.056,41.3
744000,0.01,179,0.16,179,40,1,-0.061,41.3
744250,0.01,179,0.15,179,40,1,-0.061,41.3
744500,0.00,179,0.15,179,40,1,-0.057,41.3
744750,0.00,179,0.15,179,40,1,-0.048,41.3
745000,0.00,179,0.15,179,40,1,-0.040,41.3
745250,0.00,179,0.15,179,40,1,-0.040,41.3
745500,0.00,179,0.15,179,40,1,-0.049,41.3
745750,0.00,179,0.15,179,40,1,-0.058,41.3
746000,0.00,179,0.15,179,40,1,-0.054,41.3
746250,0.00,179,0.15,179,40,1,-0.045,41.3
746500,-0.00,179,0.15,179,40,1,-0.039,41.3
746750,-0.00,179,0.15,179,40,1,-0.037,41.3
747000,-0.00,179,0.15,179,40,1,-0.041,41.3
747250,-0.00,179,0.15,179,40,1,-0.048,41.3
747500,0.00,179,0.15,180,40,1,-0.051,41.3
747750,0.00,179,0.15,180,40,1,-0.050,41.3
748000,0.00,179,0.15,180,40,1,-0.044,41.3
748250,0.00,179,0.15,180,40,1,-0.036,41.3
748500,0.00,180,0.15,180,40,1,-0.037,41.3
748750,0.00,180,0.15,180,40,1,-0.042,41.3
749000,0.00,180,0.16,180,40,1,-0.046,41.3
749250,0.00,180,0.16,180,40,1,-0.050,41.3
749500,0.00,180,0.16,180,40,1,-0.052,41.3
749750,0.00,180,0.16,180,40,1,-0.044,41.3
750000,0.00,180,0.16,180,40,1,-0.040,41.3
750250,0.00,180,0.16,180,40,1,-0.038,41.3
750500,0.00,180,0.16,180,40,1,-0.042,41.3
750750,0.00,180,0.17,180,40,1,-0.049,41.3
751000,-0.00,180,0.17,180,40,1,-0.052,41.3
751250,-0.00,180,0.17,180,40,1,-0.055,41.3
751500,0.00,180,0.17,180,40,1,-0.055,41.3
751750,0.00,180,0.16,180,40,1,-0.045,41.3
752000,0.00,180,0.16,180,40,1,-0.040,41.3
752250,0.00,181,0.16,181,40,1,-0.040,41.3
752500,0.00,181,0.16,181,40,1,-0.048,41.3
752750,-0.00,181,0.16,181,40,1,-0.051,41.3
753000,-0.00,181,0.16,181,40,1,-0.058,41.3
753250,-0.00,181,0.16,181,40,1,-0.056,41.3
753500,-0.00,181,0.16,181,40,1,-0.046,41.3
753750,0.00,181,0.16,181,40,1,-0.037,41.3
754000,0.00,181,0.16,181,40,1,-0.039,41.3
754250,0.00,181,0.16,181,40,1,-0.044,41.3
754500,0.00,181,0.17,181,40,1,-0.049,41.3
754750,0.00,181,0.17,181,40,1,-0.052,41.3
755000,0.00,181,0.17,181,40,1,-0.051,41.3
755250,0.00,182,0.17,181,40,1,-0.046,41.3
755500,0.00,182,0.17,181,40,1,-0.041,41.3
755750,0.00,182,0.17,181,40,1,-0.038,41.3
756000,0.00,182,0.17,182,40,1,-0.040,41.3
756250,0.00,182,0.17,182,40,1,-0.048,41.3
756500,0.00,182,0.19,182,40,1,-0.053,41.3
756750,0.00,182,0.19,182,40,1,-0.050,41.3
757000,0.00,182,0.19,182,40,1,-0.045,41.3
757250,-0.00,182,0.19,182,40,1,-0.037,41.3
757500,-0.00,182,0.19,182,40,1,-0.033,41.3
757750,-0.00,182,0.19,182,40,1,-0.039,41.3
758000,-0.00,182,0.19,182,40,1,-0.046,41.3
758250,-0.00,182,0.19,182,40,1,-0.051,41.3
758500,0.01,182,0.19,182,40,1,-0.050,41.3
758750,0.01,182,0.19,182,40,1,-0.046,41.3
759000,0.01,182,0.19,182,40,1,-0.038,41.3
759250,0.00,182,0.19,182,40,1,-0.038,41.3
759500,0.00,182,0.17,182,40,1,-0.042,41.3
759750,0.00,182,0.17,183,40,1,-0.048,41.3
760000,0.00,183,0.17,183,40,1,-0.054,41.3
760250,0.00,183,0.16,183,40,1,-0.055,41.3
760500,0.00,183,0.16,183,40,1,-0.047,41.3
760750,0.00,183,0.16,183,40,1,-0.039,41.3
761000,0.01,183,0.16,183,40,1,-0.037,41.3
761250,0.01,183,0.16,183,40,1,-0.043,41.3
761500,0.01,183,0.16,183,40,1,-0.048,41.3
761750,0.01,183,0.16,183,40,1,-0.052,41.3
762000,0.00,183,0.16,183,40,1,-0.054,41.3
762250,0.00,183,0.17,183,40,1,-0.051,41.3
762500,0.00,183,0.17,183,40,1,-0.045,41.3
762750,0.00,183,0.17,183,40,1,-0.041,41.3
763000,0.00,183,0.17,183,40,1,-0.043,41.3
763250,-0.00,183,0.17,183,40,1,-0.050,41.3
763500,-0.00,183,0.17,183,40,1,-0.053,41.3
763750,-0.00,184,0.17,183,40,1,-0.053,41.3
764000,-0.00,184,0.17,183,40,1,-0.047,41.3
764250,-0.00,184,0.17,183,40,1,-0.042,41.3
764500,-0.00,184,0.17,184,40,1,-0.039,41.3
764750,-0.00,184,0.17,184,40,1,-0.040,41.3
765000,-0.00,184,0.19,184,40,1,-0.047,41.3
765250,0.00,184,0.19,184,40,1,-0.051,41.3
765500,0.00,184,0.19,184,40,1,-0.055,41.3
765750,0.00,184,0.19,184,40,1,-0.058,41.3
766000,0.00,184,0.17,184,40,1,-0.057,41.3
766250,0.00,184,0.17,184,40,1,-0.050,41.3
766500,0.00,184,0.17,184,40,1,-0.041,41.3
766750,-0.00,184,0.17,184,40,1,-0.040,41.3
767000,-0.00,184,0.17,184,40,1,-0.042,41.3
767250,-0.00,184,0.17,184,40,1,-0.053,41.3
767500,0.00,185,0.17,184,40,1,-0.057,41.3
767750,0.00,185,0.17,184,40,1,-0.053,41.3
768000,0.00,185,0.17,184,40,1,-0.043,41.3
768250,0.00,185,0.17,184,40,1,-0.036,41.3
768500,0.00,185,0.17,185,40,1,-0.041,41.3
768750,0.01,185,0.17,185,40,1,-0.047,41.3
769000,0.01,185,0.17,185,40,1,-0.052,41.3
769250,0.01,185,0.17,185,40,1,-0.051,41.3
769500,0.00,185,0.17,185,40,1,-0.045,41.3
769750,0.00,185,0.17,185,40,1,-0.039,41.3
770000,-0.00,185,0.17,185,40,1,-0.032,41.3
770250,-0.00,185,0.17,185,40,1,-0.032,41.3
770500,-0.00,185,0.17,185,40,1,-0.040,41.3
770750,-0.00,185,0.17,185,40,1,-0.049,41.3
771000,0.00,185,0.17,185,40,1,-0.051,41.3
771250,0.00,185,0.17,185,40,1,-0.044,41.3
771500,0.00,185,0.17,185,40,1,-0.034,41.3
771750,0.00,185,0.17,185,40,1,-0.029,41.3
772000,0.00,185,0.17,185,40,1,-0.034,41.3
772250,0.01,186,0.17,186,40,1,-0.040,41.3
772500,0.01,186,0.17,186,40,1,-0.044,41.3
772750,0.01,186,0.17,186,40,1,-0.050,41.3
773000,-0.00,186,0.17,186,40,1,-0.051,41.3
773250,-0.00,186,0.17,186,40,1,-0.049,41.3
773500,-0.00,186,0.17,186,40,1,-0.041,41.3
773750,-0.00,186,0.17,186,40,1,-0.037,41.3
774000,-0.00,186,0.17,186,40,1,-0.043,41.3
774250,0.00,186,0.17,186,40,1,-0.050,41.3
774500,0.00,186,0.16,186,40,1,-0.058,41.3
774750,0.00,186,0.16,186,40,1,-0.054,41.3
775000,0.00,186,0.16,186,40,1,-0.047,41.3
775250,0.00,186,0.16,186,40,1,-0.040,41.3
775500,0.00,186,0.14,186,40,1,-0.040,41.3
775750,0.00,186,0.14,186,40,1,-0.045,41.3
776000,0.00,186,0.14,187,40,1,-0.053,41.3
776250,0.00,187,0.14,187,40,1,-0.057,41.3
776500,0.00,187,0.12,187,40,1,-0.057,41.3
776750,0.00,187,0.12,187,40,1,-0.052,41.3
777000,0.00,187,0.12,187,40,1,-0.047,41.3
777250,0.00,187,0.12,187,40,1,-0.043,41.3
777500,0.00,187,0.12,187,40,1,-0.044,41.3
777750,0.00,187,0.12,187,40,1,-0.046,41.3
778000,0.01,187,0.12,187,40,1,-0.050,41.3
778250,0.01,187,0.12,187,40,1,-0.052,41.3
778500,0.01,187,0.12,187,40,1,-0.047,41.3
778750,0.01,187,0.12,187,40,1,-0.040,41.3
779000,0.01,187,0.12,187,40,1,-0.037,41.3
779250,0.00,187,0.12,187,40,1,-0.037,41.3
779500,0.00,187,0.13,187,40,1,-0.044,41.3
779750,0.00,187,0.13,187,40,1,-0.053,41.3
780000,0.01,187,0.13,187,40,1,-0.057,41.3
780250,0.01,187,0.15,187,40,1,-0.051,41.3
780500,0.01,187,0.15,187,40,1,-0.046,41.3
780750,0.01,187,0.15,188,40,1,-0.039,41.3
781000,0.01,188,0.15,188,40,1,-0.040,41.3
781250,0.01,188,0.15,188,40,1,-0.045,41.3
781500,0.00,188,0.15,188,40,1,-0.053,41.3
781750,0.00,188,0.15,188,40,1,-0.056,41.3
782000,0.00,188,0.15,188,40,1,-0.052,41.3
782250,0.00,188,0.15,188,40,1,-0.042,41.3
782500,0.00,188,0.15,188,40,1,-0.037,41.3
782750,0.01,188,0.15,188,40,1,-0.040,41.3
783000,0.01,188,0.15,188,40,1,-0.045,41.3
783250,0.01,188,0.15,188,40,1,-0.049,41.3
783500,0.01,188,0.15,188,40,1,-0.054,41.3
783750,0.01,188,0.15,188,40,1,-0.057,41.3
784000,0.00,188,0.15,188,40,1,-0.050,41.3
784250,0.00,188,0.15,188,40,1,-0.043,41.3
784500,0.00,188,0.15,188,40,1,-0.038,41.3
784750,0.01,189,0.15,189,40,1,-0.042,41.3
785000,0.01,189,0.16,189,40,1,-0.049,41.3
785250,0.01,189,0.16,189,40,1,-0.052,41.3
785500,0.01,189,0.16,189,40,1,-0.050,41.3
785750,0.01,189,0.16,189,40,1,-0.043,41.3
786000,0.01,189,0.16,189,40,1,-0.036,41.3
786250,0.01,189,0.16,189,40,1,-0.033,41.3
786500,0.01,189,0.16,189,40,1,-0.037,41.3
786750,0.01,189,0.16,189,40,1,-0.041,41.3
787000,0.02,189,0.16,189,40,1,-0.043,41.3
787250,0.02,189,0.16,189,40,1,-0.046,41.3
787500,0.02,189,0.16,189,40,1,-0.045,41.3
787750,0.02,189,0.16,189,40,1,-0.039,41.3
788000,0.02,189,0.16,189,40,1,-0.030,41.3
788250,0.01,189,0.16,189,40,1,-0.029,41.3
788500,0.01,189,0.16,190,40,1,-0.038,41.3
788750,0.00,189,0.19,190,40,1,-0.047,41.3
789000,0.00,189,0.19,190,40,1,-0.051,41.3
789250,0.00,189,0.19,190,40,1,-0.046,41.3
789500,0.01,190,0.19,190,40,1,-0.034,41.3
789750,0.01,190,0.19,190,40,1,-0.030,41.3
790000,0.01,190,0.19,190,40,1,-0.033,41.3
790250,0.01,190,0.19,190,40,1,-0.041,41.3
790500,0.00,190,0.19,190,40,1,-0.049,41.3
790750,0.00,190,0.19,190,40,1,-0.050,41.3
791000,0.00,190,0.19,190,40,1,-0.048,41.3
791250,0.00,190,0.19,190,40,1,-0.046,41.3
791500,0.01,190,0.19,190,40,1,-0.040,41.3
791750,0.01,190,0.19,190,40,1,-0.041,41.3
792000,0.01,190,0.19,190,40,1,-0.046,41.3
792250,0.01,190,0.19,190,40,1,-0.054,41.3
792500,0.00,190,0.19,190,40,1,-0.057,41.3
792750,0.00,190,0.19,190,40,1,-0.055,41.3
793000,0.01,190,0.19,190,40,1,-0.047,41.3
793250,0.01,191,0.19,191,40,1,-0.039,41.3
793500,0.01,191,0.19,191,40,1,-0.039,41.3
793750,0.02,191,0.19,191,40,1,-0.043,41.3
794000,0.01,191,0.19,191,40,1,-0.054,41.3
794250,0.01,191,0.19,191,40,1,-0.059,41.3
794500,0.01,191,0.16,191,40,1,-0.057,41.3
794750,0.01,191,0.16,191,40,1,-0.053,41.3
795000,0.00,191,0.16,191,40,1,-0.046,41.3
795250,0.01,191,0.16,191,40,1,-0.043,41.3
795500,0.01,191,0.19,191,40,1,-0.044,41.3
795750,0.01,191,0.19,191,40,1,-0.049,41.3
796000,0.02,191,0.19,191,40,1,-0.053,41.3
796250,0.02,191,0.19,191,40,1,-0.055,41.3
796500,0.01,191,0.16,191,40,1,-0.050,41.3
796750,0.01,191,0.16,191,40,1,-0.042,41.3
797000,0.01,192,0.16,192,40,1,-0.042,41.3
797250,0.01,192,0.16,192,40,1,-0.046,41.3
797500,0.01,192,0.19,192,40,1,-0.049,41.3
797750,0.01,192,0.19,192,40,1,-0.052,41.3
798000,0.01,192,0.19,192,40,1,-0.055,41.3
798250,0.01,192,0.16,192,40,1,-0.053,41.3
798500,0.01,192,0.16,192,40,1,-0.048,41.3
798750,0.01,192,0.16,192,40,1,-0.042,41.3
799000,0.01,192,0.16,192,40,1,-0.041,41.3
799250,0.01,192,0.16,192,40,1,-0.046,41.3
799500,0.02,192,0.16,192,40,1,-0.051,41.3
799750,0.02,192,0.16,192,40,1,-0.056,41.3
800000,0.02,193,0.16,192,40,1,-0.050,41.3
800250,0.02,193,0.16,192,40,1,-0.042,41.3
800500,0.02,193,0.16,192,40,1,-0.038,41.3
800750,0.02,193,0.16,193,40,1,-0.038,41.3
801000,0.02,193,0.16,193,40,1,-0.043,41.3
801250,0.01,193,0.16,193,40,1,-0.051,41.3
801500,0.01,193,0.16,193,40,1,-0.056,41.3
801750,0.01,193,0.16,193,40,1,-0.053,41.3
802000,0.02,193,0.16,193,40,1,-0.050,41.3
802250,0.01,193,0.16,193,40,1,-0.039,41.3
802500,0.01,193,0.16,193,40,1,-0.037,41.3
802750,0.01,193,0.16,193,40,1,-0.041,41.3
803000,0.01,193,0.16,193,40,1,-0.051,41.3
803250,0.02,193,0.16,193,40,1,-0.057,41.3
803500,0.01,193,0.16,193,40,1,-0.056,41.3
803750,0.01,193,0.16,193,40,1,-0.044,41.3
804000,0.01,193,0.16,193,40,1,-0.033,41.3
804250,0.01,193,0.16,193,40,1,-0.031,41.3
804500,0.01,193,0.16,193,40,1,-0.038,41.3
804750,0.02,194,0.16,194,40,1,-0.046,41.3
805000,0.02,194,0.17,194,40,1,-0.049,41.3
805250,0.02,194,0.17,194,40,1,-0.051,41.3
805500,0.01,194,0.17,194,40,1,-0.048,41.3
805750,0.00,194,0.17,194,40,1,-0.045,41.3
806000,0.00,194,0.16,194,40,1,-0.043,41.3
806250,0.00,194,0.16,194,40,1,-0.042,41.3
806500,0.00,194,0.16,194,40,1,-0.044,41.3
806750,0.01,194,0.16,194,40,1,-0.051,41.3
807000,0.01,194,0.16,194,40,1,-0.053,41.3
807250,0.01,194,0.16,194,40,1,-0.048,41.3
807500,0.01,194,0.16,194,40,1,-0.042,41.3
807750,0.00,194,0.16,194,40,1,-0.042,41.3
808000,0.00,194,0.15,194,40,1,-0.044,41.3
808250,0.00,194,0.15,194,40,1,-0.047,41.3
808500,0.00,195,0.15,194,40,1,-0.051,41.3
808750,0.00,195,0.15,194,40,1,-0.057,41.3
809000,0.01,195,0.15,194,40,1,-0.059,41.3
809250,0.01,195,0.15,195,40,1,-0.053,41.3
809500,0.01,195,0.15,195,40,1,-0.045,41.3
809750,0.01,195,0.15,195,40,1,-0.041,41.3
810000,0.01,195,0.15,195,40,1,-0.040,41.3
810250,0.01,195,0.15,195,40,1,-0.047,41.3
810500,0.01,195,0.15,195,40,1,-0.054,41.3
810750,0.01,195,0.14,195,40,1,-0.054,41.3
811000,0.01,195,0.14,195,40,1,-0.043,41.3
811250,0.01,195,0.14,195,40,1,-0.034,41.3
811500,0.01,195,0.14,195,40,1,-0.036,41.3
811750,0.01,195,0.15,195,40,1,-0.045,41.3
812000,0.01,195,0.15,195,40,1,-0.054,41.3
812250,0.01,195,0.15,195,40,1,-0.059,41.3
812500,0.00,195,0.15,195,40,1,-0.052,41.3
812750,0.00,195,0.15,195,40,1,-0.044,41.3
813000,0.00,195,0.15,195,40,1,-0.039,41.3
813250,0.00,196,0.15,196,40,1,-0.037,41.3
813500,0.00,196,0.17,196,40,1,-0.041,41.3
813750,0.02,196,0.17,196,40,1,-0.048,41.3
814000,0.02,196,0.17,196,40,1,-0.053,41.3
814250,0.02,196,0.17,196,40,1,-0.052,41.3
814500,0.01,196,0.17,196,40,1,-0.049,41.3
814750,0.01,196,0.17,196,40,1,-0.040,41.3
815000,0.01,196,0.17,196,40,1,-0.037,41.3
815250,0.01,196,0.17,196,40,1,-0.042,41.3
815500,0.02,196,0.17,196,40,1,-0.049,41.3
815750,0.02,196,0.17,196,40,1,-0.053,41.1
816000,0.02,196,0.17,196,40,1,-0.055,41.1
816250,0.02,196,0.17,196,40,1,-0.055,41.1
816500,0.02,196,0.17,196,40,1,-0.051,41.1
816750,0.01,196,0.17,196,40,1,-0.043,41.1
817000,0.01,197,0.17,197,40,1,-0.039,41.1
817250,0.01,197,0.17,197,40,1,-0.041,41.1
817500,0.01,197,0.19,197,40,1,-0.046,41.1
817750,0.01,197,0.19,197,40,1,-0.052,41.1
818000,0.01,197,0.19,197,40,1,-0.049,41.1
818250,0.01,197,0.21,197,40,1,-0.040,41.1
818500,0.01,197,0.21,197,40,1,-0.032,41.1
